source,case_id,case_label,eta,nmstv,ref_key,n_radii,d_min,d_max,A_kappa,min_dphi_dr,min_dphi_dr_radius,max_curvature,max_curvature_radius
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:1,100,0.01,1.0,1.386531568807765,-0.5734572484739489,0.19,10.386692997296194,0.36
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:10,100,0.01,1.0,1.5042369311348867,-0.6605141045170532,0.19,10.832922847781012,1.0
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:11,100,0.01,1.0,1.2144717766288207,-0.5736198183956578,0.14,10.877713283656925,0.29
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:12,100,0.01,1.0,1.1369386588323667,-0.6126029309861875,0.24,12.79441456078862,0.25
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:13,100,0.01,1.0,1.3792109895603561,-0.6217291428876404,0.18,8.101812764883785,0.31
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:14,100,0.01,1.0,1.4781788964978915,-0.5468737515859865,0.27,11.353742939162608,0.98
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:15,100,0.01,1.0,1.2556134639867378,-0.5874048056449612,0.2,10.908113871540792,0.32
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:16,100,0.01,1.0,1.4360133466752523,-0.6510525869506987,0.23,11.236981988491818,0.29
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:17,100,0.01,1.0,1.3208042244713254,-0.5951625897489157,0.24,8.741961274112835,0.3
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:18,100,0.01,1.0,1.6058287505917115,-0.6820801391110809,0.22,11.781431868207632,0.27
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:19,100,0.01,1.0,1.2390293783597224,-0.5476327538566476,0.17,8.558021351335027,0.47
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:2,100,0.01,1.0,1.5100201768034396,-0.6420959893378018,0.17,10.721357730677589,0.99
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:20,100,0.01,1.0,1.307420390130735,-0.6979707423841559,0.17,12.303672698216841,0.33
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:21,100,0.01,1.0,1.3792125895302036,-0.6003154233899656,0.2,13.054050192456405,0.27
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:22,100,0.01,1.0,1.682118958831445,-0.656515094541781,0.18,16.066134947268388,0.33
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:23,100,0.01,1.0,1.1541225769976546,-0.5960461067522688,0.16,6.660722831767522,0.21
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:24,100,0.01,1.0,0.9513035562307837,-0.5711722198734366,0.15,5.482154261464057,0.25
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:25,100,0.01,1.0,1.4486744166784669,-0.7612297709075676,0.15,12.630738753099553,0.22
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:26,100,0.01,1.0,1.5051533152771268,-0.5879740066336956,0.14,10.315614687623023,0.98
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:27,100,0.01,1.0,1.5522697030977495,-0.6176203588417358,0.17,9.705165040823053,0.34
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:28,100,0.01,1.0,1.4540634610140952,-0.6858547863206219,0.2,13.242800686108431,0.21
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:29,100,0.01,1.0,1.3415968027465435,-0.6479959346383207,0.2,7.549011909364513,0.24
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:3,100,0.01,1.0,1.4222052929724907,-0.5842497210861268,0.19,11.152122193386662,0.33
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:4,100,0.01,1.0,1.4756367342947756,-0.6447675316546386,0.18,9.826266160524138,0.38
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:5,100,0.01,1.0,1.3411140020035224,-0.56430907147415,0.23,9.676336792116262,0.47
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:6,100,0.01,1.0,1.3763514495587434,-0.6505013323377443,0.17,9.974980076459463,0.3
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:7,100,0.01,1.0,1.794922485204529,-0.6237204911139324,0.19,16.9946969373727,0.31
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:8,100,0.01,1.0,1.0948650796771207,-0.522872836494478,0.19,6.415800486986738,0.28
eta_flip,eta_0.25,eta=0.25,0.25,0.8111369149742439,eta_flip:eta_0.25:9,100,0.01,1.0,1.1710258031851866,-0.5630094859757521,0.17,6.045692559372113,0.35
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:0,100,0.01,1.0,0.8669803063716801,-0.15012828884670315,0.4,9.92792697399399,0.97
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:1,100,0.01,1.0,0.7073608938683251,-0.27653184809363635,0.99,4.81871091217524,0.58
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:10,100,0.01,1.0,0.9552364124902035,-0.13757263087582525,0.32,10.957833681811772,0.98
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:11,100,0.01,1.0,0.611668846171858,-0.1421239565718835,0.2,4.821409871713244,0.69
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:12,100,0.01,1.0,0.5687606147998159,-0.1505989602000758,0.18,7.427793981334551,0.92
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:13,100,0.01,1.0,0.8992730555648675,-0.1511092656609937,0.27,11.737502886385737,0.98
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:14,100,0.01,1.0,0.7938947809883188,-0.1592891620603862,0.25,6.933279934545533,0.79
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:15,100,0.01,1.0,0.6597363919946968,-0.16610238767628,0.4,4.824551025821367,0.64
mnist_rule,even_odd,even odd,,0.4932864276461805,mnist_rule:even_odd:16,100,0.01,1.0,0.6186878312724082,-0.144473514612186,0.67,6.051770333581558,0.97
