source,case_id,case_label,eta,nmstv,radius,ref_count,phi_mean,phi_sd,phi_sem,split_mean,split_max,ess_fraction_mean
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.36,30,-0.057668656143296984,0.0032792851184339665,0.0005987128106190944,0.0026098936515595163,0.0105672280319558,0.8252204730779914
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.37,30,-0.058042424567110076,0.004179956041799993,0.0007631520711579543,0.0034860722503828397,0.0092862028111567,0.8095832604042142
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.38,30,-0.05992514210637241,0.0035934332350118425,0.0006560681472349165,0.0031160982675111906,0.0069002318016939,0.8050313681270589
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.39,30,-0.06029176977123851,0.0023731890926745594,0.0004332830664276913,0.0031080362321873234,0.0103186894297812,0.7922290497171117
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.4,30,-0.06246904999123712,0.002992827466968236,0.000546413038126517,0.002505220586913416,0.0071277243764392,0.8510004937032245
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.41,30,-0.06348432506085513,0.0033243433078175943,0.0006069392728610121,0.0025664810064092002,0.0081997828159696,0.8161627471726003
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.42,30,-0.06401153722650146,0.0035567875625206395,0.0006493775934154568,0.0033585962222305132,0.0104470812987944,0.7792433583251365
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.43,30,-0.06542350925625588,0.0033152254158550047,0.0006052745811594101,0.0025492028763720665,0.0103751042625638,0.8883128546782594
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.44,30,-0.0667831462744755,0.0030715184533887645,0.0005607799809048023,0.0027257935562686234,0.0093817865716138,0.7655355034220681
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.45,30,-0.06707864619128268,0.003660084203451346,0.0006682368935328767,0.00270437662922655,0.009477125589664,0.7540960021146927
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.46,30,-0.06853092168157965,0.0034841999449876683,0.0006361249682426684,0.0027512800943333667,0.0079937370533423,0.7960818430886253
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,0.47,30,-0.06896087595216692,0.0032118201536833484,0.0005863954496073598,0.0027398448117212067,0.0069459534480488,0.8306743278076519
