eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.25,2461,0.4,0.0072471362034142,-0.00724714
0.25,2461,0.4,0.0024660277702859,-0.00246603
0.25,2461,0.4,0.0054813881457855,0.00548139
0.25,2461,0.4,0.0059636386116398,-0.00596364
0.25,2461,0.4,0.0040018961565099,0.0040019
0.25,2461,0.4,0.0025456984260751,-0.0025457
0.25,2461,0.4,0.0127231942348686,0.0127232
0.25,2461,0.4,0.0025769415970515,0.00257694
0.25,2461,0.4,0.0023508917462471,-0.00235089
0.25,2461,0.4,0.0030882855754162,-0.00308829
0.25,2461,0.4,0.0053924338045281,0.00539243
0.25,2461,0.4,0.0026462215622025,0.00264622
0.25,2461,0.4,0.0030001873308722,-0.00300019
0.25,2461,0.4,0.004594496375196,-0.0045945
0.25,2461,0.4,0.0026709357415535,0.00267094
0.25,2461,0.4,0.0013042087014824,-0.00130421
0.25,2461,0.4,0.001894792041122,-0.00189479
0.25,2461,0.4,0.0037715491328801,0.00377155
0.25,2461,0.4,0.0014771393380486,-0.00147714
0.25,2461,0.4,0.0001987088921195,-0.000198709
0.25,2461,0.4,0.0052416891286982,0.00524169
0.25,2461,0.4,0.0135420395418027,0.013542
0.25,2461,0.4,0.0024464762694381,0.00244648
0.25,2461,0.45,0.0011477491786988,-0.00114775
0.25,2461,0.45,0.00727116412551,-0.00727116
0.25,2461,0.45,0.0016053650378287,-0.00160537
0.25,2461,0.45,0.0033298343826559,-0.00332983
0.25,2461,0.45,0.0023281106018567,-0.00232811
0.25,2461,0.45,0.0040359688805919,0.00403597
0.25,2461,0.45,0.0025969820305438,-0.00259698
0.25,2461,0.45,0.0062979913039475,-0.00629799
0.25,2461,0.45,8.522044033570034e-05,-8.52204e-05
0.25,2461,0.45,0.0055586839374005,0.00555868
0.25,2461,0.45,0.0042281760688479,0.00422818
0.25,2461,0.45,0.0133583660351778,-0.0133584
0.25,2461,0.45,0.0040269731630956,0.00402697
0.25,2461,0.45,0.0044442545296231,0.00444425
0.25,2461,0.45,0.0016207314387012,0.00162073
0.25,2461,0.45,0.0107782437606232,0.0107782
0.25,2461,0.45,0.0003768952994365,-0.000376895
0.25,2461,0.45,0.0015524918421979,-0.00155249
0.25,2461,0.45,0.006126425879603,0.00612643
0.25,2461,0.45,0.0021304348588739,-0.00213043
0.25,2461,0.45,0.0040612057542855,0.00406121
0.25,2461,0.45,0.0010145808547995,-0.00101458
0.25,2461,0.45,0.0098964918780586,-0.00989649
0.25,2461,0.45,0.002096355448545,-0.00209636
0.25,2461,0.45,9.101794562548407e-06,9.10179e-06
0.25,2461,0.45,0.0178161817650808,0.0178162
0.25,2461,0.45,0.0019601550024315,-0.00196016
0.25,2461,0.45,0.0010701935577456,-0.00107019
0.25,2461,0.45,0.0001828532752601,0.000182853
0.25,2461,0.45,0.0073215720908675,-0.00732157
0.25,2461,0.5,0.0094194823711167,-0.00941948
0.25,2461,0.5,0.0099728144708142,-0.00997281
0.25,2461,0.5,0.0033700229256844,-0.00337002
0.25,2461,0.5,0.0032399140935937,0.00323991
0.25,2461,0.5,0.0043952329367612,-0.00439523
0.25,2461,0.5,0.0078727564494746,0.00787276
0.25,2461,0.5,0.0110698459325791,0.0110698
0.25,2461,0.5,0.0055075107957423,0.00550751
0.25,2461,0.5,0.0061477996511549,0.0061478
0.25,2461,0.5,0.0066347742298088,0.00663477
0.25,2461,0.5,0.0020635927501132,0.00206359
0.25,2461,0.5,0.0004542095545568,-0.00045421
0.25,2461,0.5,0.0048668346495591,0.00486683
0.25,2461,0.5,0.0043700258219662,-0.00437003
0.25,2461,0.5,0.0025326749714953,0.00253267
