policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_004_seed_418234,49,10,0.03528916479145156,18657.58432691644,134.40052720653327,0.002601304990517486,0.08623662896911022,1.4099641571038504
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_005_seed_518234,52,10,0.3679925541211192,3539.6557077431657,59.46055197491944,0.01467995133007945,0.021749371614199632,1.4188420151522034
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_005_seed_518234,52,10,0.03509965621169616,17507.085276217604,130.82147390667254,0.0024387640086100705,0.05083947247963352,1.4153063896458566
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_006_seed_618234,52,10,0.28584225627703724,4103.663423486264,64.04063609014244,0.013604007161681414,0.006913454187119311,1.4193951567593308
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_006_seed_618234,52,10,0.10729764007241216,10647.201107384348,100.94448157342667,0.002602653985470553,0.050492263477131274,1.4211502406458436
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_007_seed_718234,55,10,0.3942502691299756,4818.648560055748,69.31588589999792,0.007581901147554059,0.03143441944314906,1.4128824339865462
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_007_seed_718234,55,10,0.04069996845246351,20323.510145839802,140.40307012285007,0.002095152294128132,0.07343907450888251,1.4224810411487911
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_008_seed_818234,63,10,0.26167469195692045,2674.9035593081317,51.66160590756893,0.0158104461535066,0.012893321106246428,1.4174761115895629
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_008_seed_818234,63,10,0.0660009488525848,11440.510645287493,104.74640142275159,0.0025167072881194666,0.18871669264315433,1.4236554139952786
l2_top10_min_norm_exact,cell_beta_0p22_p_0p00,0.22,dataset_009_seed_918234,51,10,0.3179874660255971,4443.497453829943,66.59035904368147,0.009735431949082893,0.047274046803559164,1.4133714220700873
current_simple_selected10,cell_beta_0p22_p_0p00,0.22,dataset_009_seed_918234,51,10,0.08163782827571464,12057.793867123393,109.13218864763239,0.0025497620552515877,0.05203413581176828,1.4203720888699265
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_000_seed_022234,55,10,0.23800867105539883,2366.1581170000654,48.59295446098516,0.008015528086534034,0.007888244871510613,1.4159262083211626
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_000_seed_022234,55,10,0.16488285801199606,5399.876933557005,69.17934236019906,0.0026962294440847365,0.03580619810854422,1.4352365384084322
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_001_seed_122234,74,10,0.17392784956777058,1737.110499418272,41.66365120804662,0.012956914708098125,0.004052356990322696,1.4094182332015468
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_001_seed_122234,74,10,0.07463116990237742,6605.812797780216,79.82063774225658,0.003410449845677879,0.05336574463761172,1.4252937044004814
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_002_seed_222234,61,10,0.23582961437009214,2706.3913124948776,51.94889832336357,0.00615487214094777,0.01356756380548812,1.4173449453543083
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_002_seed_222234,61,10,0.09997710754882042,7994.374322127333,87.52671060770322,0.0022861431719235982,0.14033749708053683,1.4304124338343784
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_003_seed_322234,78,10,0.16513881119282697,2167.483506915834,46.541254727733985,0.00675539050004717,0.027402755056624577,1.41683284173466
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_003_seed_322234,78,10,0.11120560616988029,4337.049006036616,65.14006103362541,0.0026387158701840553,0.11736688401372664,1.4247135959894393
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_004_seed_422234,65,10,0.20974930272763134,1956.595764871047,44.22257382711497,0.0048347578516724655,0.03695691089469052,1.4132640486801662
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_004_seed_422234,65,10,0.11253816163792081,6316.014270447846,75.82108816519087,0.002457495094549296,0.17879247645150617,1.4452405380737983
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_005_seed_522234,60,10,0.21897268965820646,2701.5350863972317,51.968251644778796,0.0077105236876013365,0.050367909704259264,1.412638301384165
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_005_seed_522234,60,10,0.07074724997285903,10024.649514122331,97.70227809775156,0.0025384441302078644,0.06335976285954292,1.4337234289843208
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_006_seed_622234,46,10,0.3468817897810231,2451.312592040157,49.49932771517122,0.015436813043544214,0.002644744610489065,1.4186559026410097
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_006_seed_622234,46,10,0.05603677177068231,12218.632655935595,110.07557324545867,0.002580450102247501,0.10570109483221493,1.4180015915719884
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_007_seed_722234,54,10,0.25663733082013374,2114.9902415233696,45.96818165437036,0.011507898575017352,0.009425748098515225,1.4190287743606838
current_simple_selected10,cell_beta_0p26_p_0p00,0.26,dataset_007_seed_722234,54,10,0.09735157889955967,7792.425723764381,86.67748317047744,0.0030943650306266453,0.13201973913001072,1.426258712530531
l2_top10_min_norm_exact,cell_beta_0p26_p_0p00,0.26,dataset_008_seed_822234,57,10,0.33016773324437304,3884.9450788964955,62.297136042841245,0.006974613573586823,0.025380720881351293,1.4142433709851143
