beta,radius,finite_reference_coverage_pass,ess_pass,ess_fraction_pass,split_pass,bootstrap_pass,smc_completed_pass,smc_cess_pass,smc_steps_pass,claim,finite_ref_count,finite_ref_min,aggregate_ref_level_ess,aggregate_ref_level_ess_min,q05_ess_fraction,q05_ess_fraction_min,max_split_logZ_per_P_diff,max_split_logZ_per_P_diff_allowed,bootstrap_sd_phi,bootstrap_sd_phi_max,min_smc_cess_fraction,min_smc_cess_fraction_allowed,max_smc_step_count,max_smc_step_count_allowed
0.06,0.93,True,True,True,True,True,True,True,True,pass,100,100,97174.90442406523,25600.0,0.8047820686057506,0.2,0.0001551588291059143,0.004,0.00010826532116504865,0.012,0.7500000000002126,0.6,4.0,120.0
0.06,0.94,True,True,True,True,True,True,True,True,pass,100,100,98248.91173962789,25600.0,0.8645188420003186,0.2,0.00021122783269505346,0.004,0.00011325896571688391,0.012,0.7500000000002013,0.6,4.0,120.0
0.06,0.95,True,True,True,True,True,True,True,True,pass,100,100,97481.08455483387,25600.0,0.8410673910135434,0.2,0.00016654963367574121,0.004,0.00011119905036928711,0.012,0.7500000000005577,0.6,4.0,120.0
0.06,0.96,True,True,True,True,True,True,True,True,pass,100,100,97876.84890985608,25600.0,0.8234032316224361,0.2,0.00015477787198957659,0.004,0.00011428461045870388,0.012,0.7500000000001953,0.6,4.0,120.0
0.06,0.97,True,True,True,True,True,True,True,True,pass,100,100,97748.25035544355,25600.0,0.8122103807773565,0.2,0.0003093302939393963,0.004,0.00011335176773528188,0.012,0.7500000000004311,0.6,4.0,120.0
0.06,0.98,True,True,True,True,True,True,True,True,pass,100,100,97516.71605394939,25600.0,0.8305275635720027,0.2,0.00016260785038131715,0.004,0.00010588479024269666,0.012,0.7500000000006602,0.6,4.0,120.0
0.06,0.99,True,True,True,True,True,True,True,True,pass,100,100,97603.48239542634,25600.0,0.8240438316302496,0.2,0.00025383611370828683,0.004,0.00010885127565946389,0.012,0.7500000000000967,0.6,4.0,120.0
0.06,1.0,True,True,True,True,True,True,True,True,pass,100,100,97489.7292666743,25600.0,0.83492666276326,0.2,0.0001772124492349511,0.004,0.00011784601862965462,0.012,0.750000000000114,0.6,4.0,120.0
0.06,1.01,True,True,True,True,True,True,True,True,pass,100,100,97920.99593544741,25600.0,0.8559744205788078,0.2,0.00015184555931676774,0.004,0.00011411524417968683,0.012,0.7500000000003905,0.6,5.0,120.0
0.06,1.02,True,True,True,True,True,True,True,True,pass,100,100,97422.51583792815,25600.0,0.7973491897014083,0.2,0.000157303765976472,0.004,0.00010913272667245622,0.012,0.7500000000003472,0.6,4.0,120.0
