run,beta,radius,dataset_count,dphi_energy_dr,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,source
30 dataset,0.33,0.12,30,-0.0005680244151327481,4.636907199995175e-05,9.483540053248687e-05,final_proxy_summary
30 dataset,0.33,0.13,30,-0.0005960709214612572,4.863468309259611e-05,9.946909549670776e-05,final_proxy_summary
30 dataset,0.33,0.14,30,-0.0006218755614879275,5.094055920188024e-05,0.00010418514166650129,final_proxy_summary
30 dataset,0.33,0.15,30,-0.0006464512040159806,5.313579405491031e-05,0.00010867490105936122,final_proxy_summary
30 dataset,0.33,0.16,30,-0.0006692940496624048,5.512390434963363e-05,0.00011274104316595854,final_proxy_summary
30 dataset,0.33,0.17,30,-0.0006921601724860221,5.687127216991969e-05,0.0001163148116277164,final_proxy_summary
30 dataset,0.33,0.18,30,-0.0007133851916569534,5.866366778804913e-05,0.00011998067227634351,final_proxy_summary
30 dataset,0.33,0.19,30,-0.000733542721531316,6.0179530777567454e-05,0.00012308096019591827,final_proxy_summary
30 dataset,0.33,0.2,30,-0.0007539183786770441,6.181943355516498e-05,0.00012643493796687648,final_proxy_summary
30 dataset,0.33,0.21,30,-0.0007728955806773551,6.274081789989537e-05,0.0001283193805405161,final_proxy_summary
30 dataset,0.33,0.22,30,-0.0007904726941689629,6.382980962238053e-05,0.00013054661869137989,final_proxy_summary
30 dataset,0.33,0.23,30,-0.0008099505909529461,6.495455404608362e-05,0.00013284697932656092,final_proxy_summary
30 dataset,0.33,0.24,30,-0.0008263777782188206,6.555721062810142e-05,0.0001340795504321301,final_proxy_summary
30 dataset,0.33,0.25,30,-0.0008437861386262821,6.654447510570163e-05,0.0001360987330063427,final_proxy_summary
30 dataset,0.33,0.26,30,-0.0008606381331246155,6.71082626118719e-05,0.00013725180792582622,final_proxy_summary
30 dataset,0.33,0.27,30,-0.0008760323042642297,6.73254885057171e-05,0.0001376960847629572,final_proxy_summary
30 dataset,0.33,0.28,30,-0.0008932816340468441,6.814986402558238e-05,0.00013938212201243422,final_proxy_summary
30 dataset,0.33,0.29,30,-0.0009102019844856504,6.810667832526106e-05,0.0001392937973380208,final_proxy_summary
30 dataset,0.33,0.3,30,-0.0009241841515799568,6.790360025968205e-05,0.00013887845605863164,final_proxy_summary
30 dataset,0.35,0.01,30,-3.574370622066686e-05,4.258136248281675e-06,8.70886647522542e-06,final_proxy_summary
30 dataset,0.35,0.02,30,-9.811765247430688e-05,1.200196785343305e-05,2.454678041776508e-05,final_proxy_summary
30 dataset,0.35,0.03,30,-0.0001686492060064728,1.9687389774840536e-05,4.026523314372414e-05,final_proxy_summary
30 dataset,0.35,0.04,30,-0.00023829730866397158,2.6004926386476245e-05,5.31860462871001e-05,final_proxy_summary
30 dataset,0.35,0.05,30,-0.0003038258281534747,3.117861638410986e-05,6.376743042946585e-05,final_proxy_summary
30 dataset,0.35,0.06,30,-0.00036410756003578567,3.540903751297062e-05,7.241961312091635e-05,final_proxy_summary
30 dataset,0.35,0.07,30,-0.0004190854319730785,3.8873596533207724e-05,7.950543192602352e-05,final_proxy_summary
30 dataset,0.35,0.08,30,-0.00046894857445001453,4.1887908560512456e-05,8.567039223490428e-05,final_proxy_summary
30 dataset,0.35,0.09,30,-0.0005148990529139031,4.465729031875461e-05,9.133441389724271e-05,final_proxy_summary
30 dataset,0.35,0.1,30,-0.000556499552433802,4.695073983515259e-05,9.602504483091477e-05,final_proxy_summary
30 dataset,0.35,0.11,30,-0.0005944892884043099,4.9106209456991486e-05,0.00010043347519421626,final_proxy_summary
30 dataset,0.35,0.12,30,-0.000629930725992775,5.1059569378812016e-05,0.00010442854480807762,final_proxy_summary
30 dataset,0.35,0.13,30,-0.0006634774361042535,5.3073041300264456e-05,0.00010854655726543403,final_proxy_summary
30 dataset,0.35,0.14,30,-0.0006938943430145988,5.465756573716599e-05,0.00011178727361246869,final_proxy_summary
30 dataset,0.35,0.15,30,-0.0007232178937476498,5.6058704220803685e-05,0.00011465292357193737,final_proxy_summary
30 dataset,0.35,0.16,30,-0.000751222733847082,5.759048666290733e-05,0.00011778577042782616,final_proxy_summary
30 dataset,0.35,0.17,30,-0.0007776362459622413,5.898649143750288e-05,0.00012064092077338776,final_proxy_summary
30 dataset,0.35,0.18,30,-0.0008039799457291715,6.065422745447224e-05,0.00012405182391054582,final_proxy_summary
30 dataset,0.35,0.19,30,-0.000829075250329103,6.17202645131596e-05,0.00012623211450258517,final_proxy_summary
30 dataset,0.35,0.2,30,-0.000853198730456952,6.302189501285767e-05,0.00012889424778367168,final_proxy_summary
30 dataset,0.35,0.21,30,-0.0008768658221776239,6.456095794804111e-05,0.0001320419849198166,final_proxy_summary
30 dataset,0.35,0.22,30,-0.0008996372786242903,6.582512442831623e-05,0.00013462749567786584,final_proxy_summary
30 dataset,0.35,0.23,30,-0.0009232190036678256,6.717459871908947e-05,0.0001373874804986513,final_proxy_summary
30 dataset,0.35,0.24,30,-0.0009444745100245869,6.804285152352255e-05,0.00013916325687114267,final_proxy_summary
30 dataset,0.35,0.25,30,-0.0009660311969538325,6.943085307693202e-05,0.00014200203879150195,final_proxy_summary
30 dataset,0.35,0.26,30,-0.000987313020473193,7.030421161104218e-05,0.00014378825755367362,final_proxy_summary
30 dataset,0.35,0.27,30,-0.0010070373097029954,7.11291054953619e-05,0.0001454753549774983,final_proxy_summary
30 dataset,0.35,0.28,30,-0.0010282752703977538,7.24921918399316e-05,0.00014826317957419857,final_proxy_summary
30 dataset,0.35,0.29,30,-0.001047083048096645,7.314204885037412e-05,0.00014959228639510334,final_proxy_summary
