eta,ref_id,radius,phi_energy_raw
0.05,0,0.53,-0.0759388748998612
0.05,0,0.54,-0.0744820273930567
0.05,0,0.55,-0.0772494111299954
0.05,0,0.56,-0.0793321859556241
0.05,0,0.57,-0.0807146599147512
0.05,0,0.58,-0.0809952119082081
0.05,0,0.59,-0.0828101202620606
0.05,0,0.6,-0.0797616539679554
0.05,0,0.61,-0.083627576357134
0.05,0,0.62,-0.0803458006338668
0.05,0,0.63,-0.0781215429341701
0.05,0,0.64,-0.0802856899650307
0.05,0,0.65,-0.0832150179497795
0.05,0,0.66,-0.0863394252617095
0.05,0,0.67,-0.0869453331521165
0.05,0,0.68,-0.0832167213408444
0.05,0,0.69,-0.0855343958624855
0.05,0,0.7,-0.0849736896282873
0.05,0,0.71,-0.0821531840572142
0.05,0,0.72,-0.0876650175578597
0.05,0,0.73,-0.0817775961669284
0.05,0,0.74,-0.0868197088047715
0.05,0,0.75,-0.0882607807302677
0.05,0,0.76,-0.0892547452661968
0.05,0,0.77,-0.086657235264475
0.05,0,0.78,-0.0852673913793277
0.05,0,0.79,-0.0861499297326771
0.05,0,0.8,-0.0884446989434028
0.05,0,0.81,-0.0900448006708882
0.05,0,0.82,-0.0906895016272876
0.05,0,0.83,-0.0932919276438179
0.05,0,0.84,-0.0964756660842724
0.05,0,0.85,-0.0955511503994392
0.05,0,0.86,-0.0923717505592635
0.05,0,0.87,-0.0892077424396532
0.05,0,0.88,-0.0939711798871812
0.05,0,0.89,-0.0984781268525893
0.05,0,0.9,-0.0964392999903186
0.05,0,0.91,-0.0913137419354589
0.05,0,0.92,-0.0974604933955215
0.05,0,0.93,-0.0954268973309867
0.05,0,0.94,-0.0958933530283311
0.05,0,0.95,-0.0937532944478435
0.05,0,0.96,-0.0992335201173695
0.05,0,0.97,-0.1006592436434899
0.05,0,0.98,-0.0962274854707649
0.05,0,0.99,-0.0957708511837228
0.05,0,1.0,-0.0969779495811022
0.05,1,0.01,-0.0003184400277163
0.05,1,0.02,-0.0003705536428392
0.05,1,0.03,-0.0004889640006538
0.05,1,0.04,-0.0007109021457569
0.05,1,0.05,-0.0011259982824657
0.05,1,0.06,-0.0016511863460153
0.05,1,0.07,-0.0023593299258279
0.05,1,0.08,-0.0034157566285067
0.05,1,0.09,-0.0044312602346972
0.05,1,0.1,-0.0056938474714599
0.05,1,0.11,-0.0072212861821023
0.05,1,0.12,-0.0091510651127519
0.05,1,0.13,-0.010503536674944
0.05,1,0.14,-0.011404408855354
0.05,1,0.15,-0.0145591804882632
0.05,1,0.16,-0.016754640156947
0.05,1,0.17,-0.0185637174523216
0.05,1,0.18,-0.0218875380253086
0.05,1,0.19,-0.0212771475121029
0.05,1,0.2,-0.0259293041223419
0.05,1,0.21,-0.0274215134971023
0.05,1,0.22,-0.0292261880341649
0.05,1,0.23,-0.0311826859237957
0.05,1,0.24,-0.0340317848073352
0.05,1,0.25,-0.0366292848087703
0.05,1,0.26,-0.0380307398431762
0.05,1,0.27,-0.036378625160319
