beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.06,0.38,100,1.3328174701580016,-0.0016590381984120694,1.3328174701580016,-0.0016590381984120694,0.0,1.3344765083564136,pass
0.06,0.39,100,1.3587369571984214,-0.0017048310832948647,1.3587369571984214,-0.0017048310832948642,-4.336808689942018e-19,1.3604417882817161,pass
0.06,0.4,100,1.3839976846051463,-0.0017519636027128775,1.3839976846051463,-0.0017519636027128775,0.0,1.385749648207859,pass
0.06,0.41,100,1.408634575874657,-0.001797982521769971,1.408634575874657,-0.001797982521769971,0.0,1.410432558396427,pass
0.06,0.42,100,1.4326782155771343,-0.00184242581227081,1.4326782155771343,-0.00184242581227081,0.0,1.4345206413894052,pass
0.06,0.43,100,1.45615669888637,-0.00188519413821558,1.45615669888637,-0.0018851941382155796,-4.336808689942018e-19,1.4580418930245855,pass
0.06,0.44,100,1.4790955717430754,-0.0019268062966903614,1.4790955717430754,-0.0019268062966903614,0.0,1.4810223780397658,pass
0.06,0.45,100,1.5015158661282302,-0.0019705375648313697,1.5015158661282302,-0.00197053756483137,4.336808689942018e-19,1.5034864036930615,pass
0.06,0.46,100,1.5234423433811493,-0.002014330918027655,1.5234423433811493,-0.002014330918027655,0.0,1.5254566742991769,pass
0.06,0.47,100,1.5449005538623783,-0.0020538752824296293,1.5449005538623783,-0.0020538752824296293,0.0,1.546954429144808,pass
0.06,0.48,100,1.5659061624566595,-0.0020934034265711293,1.5659061624566595,-0.0020934034265711297,4.336808689942018e-19,1.5679995658832306,pass
0.06,0.49,100,1.5864737319040159,-0.002137019300927767,1.5864737319040159,-0.002137019300927767,0.0,1.5886107512049437,pass
0.06,0.5,100,1.6066313622622115,-0.002174158064842014,1.6066313622622115,-0.002174158064842014,0.0,1.6088055203270535,pass
0.06,0.51,100,1.6263891623532647,-0.0022112042769249275,1.6263891623532647,-0.0022112042769249275,0.0,1.6286003666301896,pass
0.06,0.52,100,1.6457592930122409,-0.0022515295788391523,1.6457592930122409,-0.0022515295788391523,0.0,1.6480108225910801,pass
0.06,0.53,100,1.66476490088032,-0.0022866321254736725,1.66476490088032,-0.0022866321254736725,0.0,1.6670515330057938,pass
0.06,0.54,100,1.683410440382969,-0.002325880985464115,1.683410440382969,-0.002325880985464115,0.0,1.685736321368433,pass
0.06,0.55,100,1.7017146623450534,-0.002363587813906777,1.7017146623450534,-0.002363587813906777,0.0,1.7040782501589602,pass
0.06,0.56,100,1.7196913356420471,-0.002398340056722286,1.7196913356420471,-0.002398340056722286,0.0,1.7220896756987694,pass
0.06,0.57,100,1.737350292131571,-0.0024320060194084783,1.737350292131571,-0.0024320060194084783,0.0,1.7397822981509796,pass
0.06,0.58,100,1.7546991232467286,-0.00246808392546687,1.7546991232467286,-0.0024680839254668705,4.336808689942018e-19,1.7571672071721955,pass
0.06,0.59,100,1.7717489712372985,-0.0025059524245079545,1.7717489712372985,-0.0025059524245079545,0.0,1.7742549236618064,pass
0.06,0.6,100,1.7885176981665856,-0.0025377398358394725,1.7885176981665856,-0.0025377398358394725,0.0,1.791055438002425,pass
0.06,0.61,100,1.8050064300066122,-0.0025718151328970955,1.8050064300066122,-0.0025718151328970955,0.0,1.8075782451395093,pass
0.06,0.62,100,1.8212287835807361,-0.0026035932278533876,1.8212287835807361,-0.0026035932278533876,0.0,1.8238323768085896,pass
0.06,0.63,100,1.8371911772514355,-0.002635253932535681,1.8371911772514355,-0.0026352539325356803,-8.673617379884035e-19,1.8398264311839712,pass
0.06,0.64,100,1.8529003601749512,-0.0026682400176430113,1.8529003601749512,-0.0026682400176430113,0.0,1.8555686001925942,pass
0.06,0.65,100,1.8683655353133095,-0.0027011593969647036,1.8683655353133095,-0.0027011593969647036,0.0,1.8710666947102743,pass
0.06,0.66,100,1.8835927090354148,-0.002735458798916692,1.8835927090354148,-0.002735458798916692,0.0,1.8863281678343315,pass
0.06,0.67,100,1.8985959292939232,-0.0027642071122714568,1.8985959292939232,-0.0027642071122714568,0.0,1.9013601364061947,pass
0.06,0.68,100,1.9133749881741648,-0.0027944127653884553,1.9133749881741648,-0.0027944127653884553,0.0,1.9161694009395533,pass
