q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.9,0.22,0.8,2.0,2.0,0.9181716552454665,0,
0.99,0.22,0.8,4.0,4.0,1.0,0,
0.5,0.22,0.9,2.0,2.0,0.8535156249999999,0,
0.9,0.22,0.9,2.0,2.0,0.9033203124999998,0,
0.99,0.22,0.9,4.0,4.0,1.0,0,
0.5,0.22,1.0,2.0,2.0,0.8388671874999997,0,
0.9,0.22,1.0,2.0,2.0,0.919921875,0,
0.99,0.22,1.0,4.0,4.0,1.0,0,
0.5,0.22,1.1,2.0,2.0,0.7236328124999998,0,
0.9,0.22,1.1,4.0,4.0,1.0,0,
0.99,0.22,1.1,4.0,4.0,1.0,0,
0.5,0.22,1.2,2.0,2.0,0.6591796875000002,0,
0.9,0.22,1.2,4.0,4.0,1.0,0,
0.99,0.22,1.2,4.0,4.0,1.0,0,
0.5,0.22,1.3,2.0,2.0,0.626953125,0,
0.9,0.22,1.3,4.0,4.0,1.0,0,
0.99,0.22,1.3,4.0,4.0,1.0,0,
0.5,0.22,1.4,2.0,2.0,0.5065743493875248,0,
0.9,0.22,1.4,4.0,4.0,1.0,0,
0.99,0.22,1.4,4.0,4.0,1.0,0,
0.5,0.22,1.5,2.0,2.0,0.5478515624999998,0,
0.9,0.22,1.5,4.0,4.0,0.9998112944398452,0,
0.99,0.22,1.5,4.0,4.0,0.9998112944398452,0,
0.5,0.22,1.6,2.0,2.0,0.5375442004189045,0,
0.9,0.22,1.6,4.0,4.0,0.9996510695880609,0,
0.99,0.22,1.6,4.0,4.0,0.9996510695880609,0,
0.5,0.22,1.7,2.0,2.0,0.5286005017116873,0,
0.9,0.22,1.7,4.0,4.0,0.9995078675515602,0,
0.99,0.22,1.7,4.0,4.0,0.9995078675515602,0,
0.5,0.22,1.8,2.0,2.0,0.5443340074753208,0,
0.9,0.22,1.8,4.0,4.0,0.9995206951029466,0,
0.99,0.22,1.8,4.0,4.0,0.9995206951029466,0,
0.5,0.22,1.9,2.0,2.0,0.5059529782964023,0,
0.9,0.22,1.9,4.0,4.0,0.9995571226955742,0,
0.99,0.22,1.9,4.0,4.0,0.9995571226955742,0,
